Artist,Title,Album,,,,
Taylor Swift,22,PH00001,,,,
Lynn Anderson,(I Never Promised You A) Rose Garden,PH00002,,,,
Gloriana,(Kissed You) Good Night,PH00003,,,,
Martha & The Vandellas,(Love Is Like A) Heat Wave,PH00004,,,,
Otis Redding,(Sittin' On) The Dock of the Bay,PH00005,,,,
Frank Sinatra,"(Theme From) New York, New York",PH00006,,,,
Stacie Orrico,(There's Gotta Be) More To Life,PH00007,,,,
Perry Como,(There's No Place Like) Home For The Holidays,PH00008,,,,
The Carpenters,(They Long To Be) Close To You,PH00009,,,,
The Shirelles,(Will You Still Love Me) Tomorrow,PH00010,,,,
Ray Conniff,The Twelve Days of Christmas,PH00011,,,,
Mark Wills,19 Somethin',PH00012,,,,
The Wilkinsons,26 Cents,PH00013,,,,
Dierks Bentley,5-1-5-0,PH00014,,,,
Various - Children's Music,"A-Tisket, A-Tasket",PH00016,,,,
Michael W. Smith,Above All,PH00017,,,,
Steve Miller Band,Abracadabra,PH00018,,,,
Buck Owens,Act Naturally,PH00019,,,,
Robert Palmer,Addicted To Love,PH00020,,,,
Jaci Velasquez,Adore,PH00021,,,,
The Supremes,Ain't No Mountain High Enough,PH00024,,,,
Brooks & Dunn,Ain't Nothing 'Bout You,PH00025,,,,
Lady Gaga,Alejandro,PH00026,,,,
P.O.D.,Alive,PH00027,,,,
Blake Shelton,All About Tonight,PH00028,,,,
Various,All Creatures of Our God & King,PH00029,,,,
Cody Simpson,All Day,PH00030,,,,
Bethany Dillon,All I Need,PH00033,,,,
Nat King Cole,All I Want For Christmas (Is My Two Front Teeth),PH00034,,,,
Mariah Carey,All I Want For Christmas Is You,PH00035,,,,
Gretchen Wilson,All Jacked Up,PH00036,,,,
K-Ci & Jojo,All My Life,PH00037,,,,
Frank Sinatra,All of Me,PH00038,,,,
Free,All Right Now,PH00039,,,,
Elvis Presley,All Shook Up,PH00040,,,,
Tony Martin,All The Things You Are,PH00042,,,,
Frank Sinatra,All The Way,PH00043,,,,
The Beatles,All You Need Is Love,PH00044,,,,
Michelle Branch,All You Wanted,PH00045,,,,
The Band Perry,All Your Life,PH00046,,,,
Carrie Underwood,All-American Girl,PH00047,,,,
Jake Owen,Alone With You,PH00048,,,,
Various - Children's Music,Alphabet Song,PH00049,,,,
Kelly Clarkson,Already Gone,PH00050,,,,
Darius Rucker,Alright,PH00051,,,,
Atlantic Starr,Always,PH00052,,,,
Willie Nelson,Always On My Mind,PH00054,,,,
Lonestar,Amazed,PH00055,,,,
Various,Amazing Grace,PH00056,,,,
Chris Tomlin,Amazing Grace (My Chains Are Gone),PH00057,,,,
Various,America The Beautiful,PH00058,,,,
Lady Antebellum,American Honey,PH00059,,,,
Don McLean,American Pie,PH00060,,,,
The Guess Who,American Woman,PH00061,,,,
Pure Prairie League,Amie,PH00062,,,,
Various,Anchors Aweigh,PH00063,,,,
from the musical Chicago,And All That Jazz,PH00064,,,,
Jennifer Hudson,And I Am Telling You I'm Not Going,PH00065,,,,
Love and Theft,Angel Eyes,PH00066,,,,
Jessica Simpson,Angels,PH00067,,,,
Various,Angels We Have Heard On High,PH00068,,,,
Various - Children's Music,The Ants Go Marching In,PH00069,,,,
Martina McBride,Anyway,PH00071,,,,
Timbaland ft. OneRepublic,Apologize,PH00072,,,,
Lady Gaga,Applause,PH00073,,,,
The 5th Dimension,Aquarius,PH00074,,,,
Thompson Square,Are You Gonna Kiss Me Or Not,PH00075,,,,
Toby Keith,As Good As I Once Was,PH00077,,,,
from the musical Oliver,As Long As He Needs Me,PH00078,,,,
Justin Bieber,As Long As You Love Me,PH00079,,,,
Jimmy Durante,As Time Goes By,PH00080,,,,
Danny & The Juniors,At The Hop,PH00081,,,,
Billy Vera & The Beaters,At This Moment,PH00082,,,,
Nat King Cole,Away In A Manger,PH00083,,,,
Various - Children's Music,B-I-N-G-O,PH00084,,,,
Various - Children's Music,Baa Baa Black Sheep,PH00085,,,,
Justin Bieber ft. Ludacris,Baby,PH00086,,,,
Faith Hill,A Baby Changes Everything,PH00087,,,,
Mac Davis,Baby Don't Get Hooked On Me,PH00088,,,,
Sir Mix-A-Lot,Baby Got Back,PH00089,,,,
The Supremes,Baby Love,PH00090,,,,
Britney Spears,Baby One More Time,PH00091,,,,
Britney Spears,Baby One More Time (Dance Remix),PH00092,,,,
Peter Frampton,"Baby, I Love Your Way",PH00093,,,,
Brian McKnight,Back At One,PH00094,,,,
Taylor Swift,Back To December,PH00095,,,,
Donna Summer,Bad Girls,PH00096,,,,
Lady Gaga,Bad Romance,PH00097,,,,
Jim Croce,"Bad, Bad Leroy Brown",PH00098,,,,
Miranda Lambert,Baggage Claim,PH00099,,,,
